Organisation Name,Town/City,County,Type & Rating,Route
Blink Productions Limited,London,,Worker (A rating),Skilled Worker
Blinq Ltd,London,,Worker (A rating),Skilled Worker
Blippar Limited,London,,Worker (A rating),Skilled Worker
Blis Global Ltd,London,,Worker (A rating),Skilled Worker
BLISSFUL UK TRADING LTD,London,,Worker (A rating),Skilled Worker
Blissi Ltd,London,,Worker (A rating),Skilled Worker
Blitz Fibre Limited,London,,Worker (A rating),Skilled Worker
BLM-UK LTD,London,,Worker (A rating),Skilled Worker
Block Asset Management Ltd,London,,Worker (A rating),Skilled Worker
Block Scholes Ltd,London,,Worker (A rating),Skilled Worker
BlockAPT Limited,London,London,Worker (A rating),Skilled Worker
Blockchain (GB) Limited,London,,Worker (A rating),Skilled Worker
Blockspace Group Ltd,London,,Worker (A rating),Skilled Worker
Blond Ltd,London,London,Worker (A rating),Skilled Worker
Bloom and Wild Limited,London,Greater London,Worker (A rating),Skilled Worker
BLOOM BUSINESS SOLUTIONS LTD,London,,Worker (A rating),Skilled Worker
Bloom Design Limited,London,,Worker (A rating),Skilled Worker
Bloom Fresh International Ltd,London,,Worker (A rating),Skilled Worker
BLOOM HEALTH GROUP LTD,London,,Worker (A rating),Skilled Worker
Bloom Perfumery Ltd,London,,Worker (A rating),Skilled Worker
Bloom Regulatory Ltd,London,,Worker (A rating),Skilled Worker
Bloom Stones London Limited,London,,Worker (A rating),Skilled Worker
Bloom Wellness Limited,London,,Worker (A rating),Skilled Worker
Bloombar Watches Ltd,London,,Worker (A rating),Skilled Worker
BLOOMING SCENT LIMITED,London,,Worker (A rating),Skilled Worker
BloomReach UK Ltd,London,,Worker (A rating),Skilled Worker
Bloomsbury Institute,London,,Worker (A rating),Skilled Worker
Bloomsbury Publishing Plc,London,,Worker (A rating),Skilled Worker
BLOOP AI LIMITED,London,England,Worker (A rating),Skilled Worker
Bloss ltd,London,,Worker (A rating),Skilled Worker
Blossom Cap LLP,London,,Worker (A rating),Skilled Worker
BLOSSOM CHILDREN'S HOMES LIMITED,London,,Worker (A rating),Skilled Worker
Blossom Homecare Barnet & West Hampstead,London,,Worker (A rating),Skilled Worker
Blossom Spa,London,,Worker (A rating),Skilled Worker
Blott.io Ltd,London,,Worker (A rating),Skilled Worker
Blou Construction Ltd,London,,Worker (A rating),Skilled Worker
Blow Beauty Ltd,London,,Worker (A rating),Skilled Worker
BLS DEVELOPMENT AND CONSTRUCTION LIMITED,London,England,Worker (A rating),Skilled Worker
BLS Global Ltd,London,,Worker (A rating),Skilled Worker
BLS INTERNATIONAL SERVICES (UK) Ltd,London,,Worker (A rating),Skilled Worker
Blu Moon Ltd,London,,Worker (A rating),Skilled Worker
"Blue Ace Trading Ltd,",London,London,Worker (A rating),Skilled Worker
BLUE ALPINE PARTNERS LIMITED T/A BLUE ALPINE,London,,Worker (A rating),Skilled Worker
Blue Ant International Limited,London,,Worker (A rating),Skilled Worker
Blue Astral Consulting Ltd.,London,,Worker (A rating),Skilled Worker
Blue Building Services Ltd,London,,Worker (A rating),Skilled Worker
Blue Consulting International Limited T/A Blue Education,London,,Worker (A rating),Skilled Worker
Blue Copal,London,,Worker (A rating),Skilled Worker
Blue Cube (GB) Ltd,London,,Worker (A rating),Skilled Worker
Blue Duck Education Ltd,London,,Worker (A rating),Skilled Worker
Blue Earth Capital (UK) Limited,London,,Worker (A rating),Skilled Worker
Blue Fountain UK Ltd,London,,Worker (A rating),Skilled Worker
BLUE HERON CATERING LIMITED T/A BANGALORE EXPRESS,London,,Worker (A rating),Skilled Worker
Blue Heron Research Partners (UK) Limited,London,,Worker (A rating),Skilled Worker
Blue Horizon Asset Management Limited,London,,Worker (A rating),Skilled Worker
Blue Lake Solution Ltd,London,,Worker (A rating),Skilled Worker
Blue Light Services Specialist Vehicles,London,,Worker (A rating),Skilled Worker
Blue Marine Foundation,London,Greater London,Worker (A rating),Skilled Worker
Blue Matter Consulting Ltd,London,,Worker (A rating),Skilled Worker
Blue Moon (Hammersmith) Limited T/A Holy Cow,London,,Worker (A rating),Skilled Worker
Blue Ocean Data Solution Ltd,London,,Worker (A rating),Skilled Worker
BLUE OCEAN SERVICES LTD,London,,Worker (A rating),Skilled Worker
Blue Orchid Group Ltd,London,,Worker (A rating),Skilled Worker
Blue Owl Capital UK Limited,London,,Worker (A rating),Skilled Worker
BLUE PEAR DAY NURSERY LIMITED,London,,Worker (A rating),Skilled Worker
Blue Raincoat Music Ltd,London,,Worker (A rating),Skilled Worker
Blue Ridge Partners Management Consulting (UK) Ltd,London,,Worker (A rating),Skilled Worker
Blue Saffron Limited,London,,Worker (A rating),Skilled Worker
Blue Skies Space Ltd.,London,,Worker (A rating),Skilled Worker
BLUE SKY DEVELOPERS LIMITED,London,,Worker (A rating),Skilled Worker
Blue Sky Ocean Ltd,London,,Worker (A rating),Skilled Worker
Blue tech IT Ltd,London,,Worker (A rating),Skilled Worker
BLUE WATER ENERGY LLP,London,,Worker (A rating),Skilled Worker
BLUE WIRE CAPITAL LTD,London,,Worker (A rating),Skilled Worker
Blue Zoo Productions Limited,London,,Worker (A rating),Skilled Worker
Bluebell Restaurants Ltd,London,,Worker (A rating),Skilled Worker
"Bluebird Care, Wandsworth, Clapham & Streatham",London,Please Select...,Worker (A rating),Skilled Worker
BLUEBIRD LONDON LIMITED,London,,Worker (A rating),Skilled Worker
BLUEBIRD SOLUTIONS LTD,London,England,Worker (A rating),Skilled Worker
Bluebolt Limited,London,,Worker (A rating),Skilled Worker
BlueCove Limited,London,,Worker (A rating),Skilled Worker
BlueCrest Capital Management (UK) LLP,London,,Worker (A rating),Skilled Worker
BlueCrest Capital Management LLP,London,,Worker (A rating),Skilled Worker
Bluedot Impact Limited,London,,Worker (A rating),Skilled Worker
BlueDrive Global Investors LLP,London,,Worker (A rating),Skilled Worker
Bluefield Care Services limited,London,,Worker (A rating),Skilled Worker
Bluefin Talent Limited,London,England,Worker (A rating),Skilled Worker
BlueFloat Management UK Limited,London,,Worker (A rating),Skilled Worker
Bluegem Capital Partners LLP,London,,Worker (A rating),Skilled Worker
Blueground Furnished Apartments UK Ltd,London,,Worker (A rating),Skilled Worker
Bluegrove Capital Management Limited,London,,Worker (A rating),Skilled Worker
BlueLattice.IO Ltd,London,,Worker (A rating),Skilled Worker
Blueline Luxury Coach Limited,London,,Worker (A rating),Skilled Worker
BlueMatrix Research Limited,London,,Worker (A rating),Skilled Worker
Bluemethane Ltd,London,,Worker (A rating),Skilled Worker
BlueNord Energy UK Ltd,London,,Worker (A rating),Skilled Worker
BLUENWHITE LTD,London,,Worker (A rating),Skilled Worker
BlueOptima Limited,London,,Worker (A rating),Skilled Worker
BluePeak Capital LLP,London,,Worker (A rating),Skilled Worker
BLUEPI PROPERTIES LIMITED,London,England,Worker (A rating),Skilled Worker
Bluepoint Corporation Limited,London,Middlesex,Worker (A rating),Skilled Worker
Blueprint Pictures Limited,London,,Worker (A rating),Skilled Worker
BLUERISE LIMITED TA THE CHAMBELI,London,,Worker (A rating),Skilled Worker
BlueShift Online Limited,London,,Worker (A rating),Skilled Worker
Bluestar Group Limited,London,,Worker (A rating),Skilled Worker
Bluesteel Group UK Ltd,London,,Worker (A rating),Skilled Worker
BLUESTONE ASSOCIATES LTD,London,United Kingdom,Worker (A rating),Skilled Worker
Bluestone Energy Ltd,London,,Worker (A rating),Skilled Worker
Bluestone Law Ltd,London,,Worker (A rating),Skilled Worker
Bluestone Travel Ltd,London,,Worker (A rating),Skilled Worker
BlueVoyant Ltd,London,,Worker (A rating),Skilled Worker
Blume Equity LLP,London,,Worker (A rating),Skilled Worker
Blunt Trading Ltd,London,,Worker (A rating),Skilled Worker
BLUPACE LIMITED,London,,Worker (A rating),Skilled Worker
Blush Tech Limited,London,,Worker (A rating),Skilled Worker
BLUX CONSULTANCY LIMITED,London,,Worker (A rating),Skilled Worker
BM CONSTRUCTION LONDON LTD,London,,Worker (A rating),Skilled Worker
BM MUGHAL BUILDERS LIMITED,London,,Worker (A rating),Skilled Worker
BM&A London Limited,London,,Worker (A rating),Skilled Worker
BM3 CONTRACTS LTD,London,,Worker (A rating),Skilled Worker
BMA GROCERY LIMITED,London,,Worker (A rating),Skilled Worker
BMAS Accountants Ltd,London,,Worker (A rating),Skilled Worker
BMB Drylining Ltd,London,,Worker (A rating),Skilled Worker
BMC Properties & Management Limited,London,,Worker (A rating),Skilled Worker
BMC UK Subadvisor Support Ltd,London,,Worker (A rating),Skilled Worker
BMD Infrastructure Services Limited,London,,Worker (A rating),Skilled Worker
BMG RIGHTS MANAGEMENT SERVICES (UK) LIMITED,London,,Worker (A rating),Skilled Worker
BMH Shipbroking Limited,London,,Worker (A rating),Skilled Worker
BMI GLOBALED LTD,London,,Worker (A rating),Skilled Worker
BMI Healthcare Limited trading as Circle Health Group Limited,London,,Worker (A rating),Skilled Worker
BMJ Publishing Group Limited,London,,Worker (A rating),Skilled Worker
BMLL Technologies Ltd,London,,Worker (A rating),Skilled Worker
BMM Care Ltd,London,,Worker (A rating),Skilled Worker
BMN BUBBLE LTD,London,,Worker (A rating),Skilled Worker
BMSL Accountancy & Tax Services Ltd,London,,Worker (A rating),Skilled Worker
BMT Global Link Limited,London,,Worker (A rating),Skilled Worker
BMT Group,London,,Worker (A rating),Skilled Worker
B'NAI B'RITH HILLEL FOUNDATION t/a Union of Jewish Students,London,,Worker (A rating),Skilled Worker
BND FOODS LTD,London,,Worker (A rating),Skilled Worker
BNF Capital Limited,London,,Worker (A rating),Skilled Worker
BNKBL LTD,London,,Worker (A rating),Skilled Worker
BNL Fibre Limited,London,,Worker (A rating),Skilled Worker
BNM Builders Ltd,London,,Worker (A rating),Skilled Worker
BNP Paribas Asset Management UK Limited,London,,Worker (A rating),Skilled Worker
BNP Paribas London Branch,London,,Worker (A rating),Skilled Worker
BNP Paribas real Estate Advisory & Property Management UK Limited,London,,Worker (A rating),Skilled Worker
BNTL Care Limited (Trading as Summerdale Court Care Home),London,,Worker (A rating),Skilled Worker
BNW Food Limited,London,,Worker (A rating),Skilled Worker
Board Intelligence Ltd,London,,Worker (A rating),Skilled Worker
Board Intelligence Ltd,London,,Worker (A rating),Skilled Worker
Board MIT Ltd,London,,Worker (A rating),Skilled Worker
Board Originator Ltd.,London,,Worker (A rating),Skilled Worker
Boat Rocker Rights (UK) Ltd,London,London,Worker (A rating),Skilled Worker
BOB W TECHNOLOGIES UK LIMITED,London,,Worker (A rating),Skilled Worker
BOBA & CO UK LTD,London,,Worker (A rating),Skilled Worker
Boba & Shakes Ltd,London,,Worker (A rating),Skilled Worker
Boba Commodities Limited,London,,Worker (A rating),Skilled Worker
BoBar Bubble Tea,London,,Worker (A rating),Skilled Worker
Bobo & Wild 02 ltd T/A Bobo & Wild,London,,Worker (A rating),Skilled Worker
BOBO WINE LTD,London,,Worker (A rating),Skilled Worker
Bobrick Washroom Equipment Limited,London,,Worker (A rating),Skilled Worker
BOC Aviation (UK) Limited,London,,Worker (A rating),Skilled Worker
BOCAN INTERNATIONAL LTD,London,,Worker (A rating),Skilled Worker
BOCCONCINO RESTAURANT LTD,London,,Worker (A rating),Skilled Worker
Bocconi Limited,London,,Worker (A rating),Skilled Worker
Bodo Technology Limited,London,,Worker (A rating),Skilled Worker
Body & Soul,London,,Worker (A rating),Skilled Worker
Body Logic Health Ltd,London,London,Worker (A rating),Skilled Worker
Body20 UK Ltd,London,,Worker (A rating),Skilled Worker
BODYTECH WEST LONDON LTD,London,,Worker (A rating),Skilled Worker
Boeing Defence UK Limited,London,,Worker (A rating),Skilled Worker
Boeing United Kingdom Limited,London,,Worker (A rating),Skilled Worker
Boerboel Trading LLP,London,,Worker (A rating),Skilled Worker
Boffi UK Limited,London,,Worker (A rating),Skilled Worker
Boggi (UK) Limited,London,,Worker (A rating),Skilled Worker
BOGHOSSIAN,London,London,Worker (A rating),Skilled Worker
BOGJISHA LTD T/A THE STEAK RESTAURANT,London,,Worker (A rating),Skilled Worker
Bogle Architects Ltd,London,,Worker (A rating),Skilled Worker
Bohemian Craft LTD,London,,Worker (A rating),Skilled Worker
Boies Schiller Flexner (UK) LLP,London,,Worker (A rating),Skilled Worker
BOILER & HEATING CARE LIMITED,London,,Worker (A rating),Skilled Worker
BOILER ROOM (UK) LIMITED,London,,Worker (A rating),Skilled Worker
Boilersafe Services Limited,London,,Worker (A rating),Skilled Worker
Boitefin Limited,London,,Worker (A rating),Skilled Worker
Boki Hospitality Ltd,London,London,Worker (A rating),Skilled Worker
Boku Labs Ltd,London,,Worker (A rating),Skilled Worker
Boku Network Services UK Ltd,London,,Worker (A rating),Skilled Worker
BOLD INNOVATE LTD,London,,Worker (A rating),Skilled Worker
Bold Investment Limited,London,,Worker (A rating),Skilled Worker
Boldgreen Limited,London,,Worker (A rating),Skilled Worker
Boldhaven Management LLP,London,,Worker (A rating),Skilled Worker
Boldspace Group Limited,London,,Worker (A rating),Skilled Worker
Boldyn Networks Group Limited,London,,Worker (A rating),Skilled Worker
Boldyn Networks UK Limited,London,,Worker (A rating),Skilled Worker
BOLLYWOOD LIMITED,London,,Worker (A rating),Skilled Worker
Bolongaro & Trevor Co,London,,Worker (A rating),Skilled Worker
BOLT APPLIANCES,London,,Worker (A rating),Skilled Worker
Bolt Burdon Kemp LLP,London,,Worker (A rating),Skilled Worker
Bolt Insight Ltd,London,,Worker (A rating),Skilled Worker
Bolt Services UK Limited,London,,Worker (A rating),Skilled Worker
Boltify Limited,London,,Worker (A rating),Skilled Worker
BOLTON BG UK LIMITED,London,,Worker (A rating),Skilled Worker
Boltondene Ltd,London,,Worker (A rating),Skilled Worker
BOLZE & MOOGY UK LIMITED,London,,Worker (A rating),Skilled Worker
BOMBAY BICYCLE BATTERSEA LTD,London,,Worker (A rating),Skilled Worker
Bombay Corner Ltd,London,,Worker (A rating),Skilled Worker
Bombay Kilburn Ltd,London,,Worker (A rating),Skilled Worker
Bombay Rickshaw London Limited T/A: Impasto,London,,Worker (A rating),Skilled Worker
BOMBAY SPICY LIMITED,London,,Worker (A rating),Skilled Worker
Bombay Stores Ltd,London,,Worker (A rating),Skilled Worker
Bompas & Parr Studio Ltd,London,,Worker (A rating),Skilled Worker
BONBON POTTERY LTD,London,,Worker (A rating),Skilled Worker
Bonbonart Limited,London,ENG,Worker (A rating),Skilled Worker
Bond Radar Limited,London,,Worker (A rating),Skilled Worker
BOND180 LIMITED,London,,Worker (A rating),Skilled Worker
Bondaval Ltd,London,,Worker (A rating),Skilled Worker
Bondcare (Bromford) Limited,London,,Worker (A rating),Skilled Worker
Bondcare (Darrington) Limited,London,,Worker (A rating),Skilled Worker
Bondcare (Halifax) Limited,London,,Worker (A rating),Skilled Worker
Bondcare (London) Ltd,London,,Worker (A rating),Skilled Worker
Bondi Sands Europe Limited,London,,Worker (A rating),Skilled Worker
Bondi Sands,London,,Worker (A rating),Skilled Worker
BONDI WAX LIMITED,London,,Worker (A rating),Skilled Worker
Bondor Bazar Cash and Carry Ltd,London,,Worker (A rating),Skilled Worker
Bondsmith Savings Ltd,London,,Worker (A rating),Skilled Worker
Bone Daddies Ltd,London,,Worker (A rating),Skilled Worker
Bonelli Erede Lombardi Pappalardo LLP,London,,Worker (A rating),Skilled Worker
BONEMA PROPERTY LIMITED,London,,Worker (A rating),Skilled Worker
Bonham and Brook,London,,Worker (A rating),Skilled Worker
Bonhams 1793 Ltd.,London,,Worker (A rating),Skilled Worker
BONNEY OIL AND GAS LTD,London,,Worker (A rating),Skilled Worker
Bono Properties Number Two Limited,London,,Worker (A rating),Skilled Worker
Bonoo Inidian Tapas,London,,Worker (A rating),Skilled Worker
Bonpoint UK Limited,London,London,Worker (A rating),Skilled Worker
"Bonroy Petchem Co., Limited",London,,Worker (A rating),Skilled Worker
Bonsucro Limited,London,,Worker (A rating),Skilled Worker
Bontouch Limited,London,,Worker (A rating),Skilled Worker
BONU CAKES LTD,London,,Worker (A rating),Skilled Worker
Bonus Consultancy Limited,London,,Worker (A rating),Skilled Worker
Bonwin Commercial Management Services Ltd,London,Surrey,Worker (A rating),Skilled Worker
Boodle and Dunthorne Limited T/A Boodles,London,,Worker (A rating),Skilled Worker
Book Protectors & Co Ltd,London,,Worker (A rating),Skilled Worker
BookaClassic Limited,London,,Worker (A rating),Skilled Worker
Bookbliss Limited,London,,Worker (A rating),Skilled Worker
BOOKING.COM LIMITED,London,,Worker (A rating),Skilled Worker
Bookmark Content Limited,London,,Worker (A rating),Skilled Worker
Boom Spin Ltd t/a Boom Cycle,London,,Worker (A rating),Skilled Worker
BOOMA RESTAURANTS LIMITED,London,,Worker (A rating),Skilled Worker
Boomerang I-Comms Limited,London,,Worker (A rating),Skilled Worker
Boomi Corporation Limited,London,,Worker (A rating),Skilled Worker
Boon N Bless Limited,London,,Worker (A rating),Skilled Worker
Boost & Co Limited,London,,Worker (A rating),Skilled Worker
Boost Capital Advisers Limited,London,,Worker (A rating),Skilled Worker
Boost Education Service Limited t/a BHE Uni,London,,Worker (A rating),Skilled Worker
Bootleg Films Limited,London,,Worker (A rating),Skilled Worker
BOOZ ALLEN HAMILTON INTERNATIONAL (U.K.) LTD,London,,Worker (A rating),Skilled Worker
BOOZE DELIVERY LIMITED,London,,Worker (A rating),Skilled Worker
BoPubCo,London,London,Worker (A rating),Skilled Worker
BORAN SUPERMARKET LIMITED,London,,Worker (A rating),Skilled Worker
Bordeaux Index Limited,London,London,Worker (A rating),Skilled Worker
Bordelle Ltd,London,,Worker (A rating),Skilled Worker
Boreal IM Limited,London,,Worker (A rating),Skilled Worker
Borealis Maritime Limited,London,,Worker (A rating),Skilled Worker
BOREAS SOFTWARE AND CONSULTING LTD,London,,Worker (A rating),Skilled Worker
Borkowski,London,,Worker (A rating),Skilled Worker
Borletti Management Limited,London,,Worker (A rating),Skilled Worker
Born Capital Ltd,London,Greater London,Worker (A rating),Skilled Worker
Born London Limited,London,London,Worker (A rating),Skilled Worker
Born Social Limited,London,,Worker (A rating),Skilled Worker
Borne Resourcing Limited,London,,Worker (A rating),Skilled Worker
Bornoa Limited,London,,Worker (A rating),Skilled Worker
Borough Kitchen Limited,London,,Worker (A rating),Skilled Worker
Borough Nuts Ltd,London,,Worker (A rating),Skilled Worker
BOROUGH SE1 LTD,London,,Worker (A rating),Skilled Worker
Borshtch N Tears,London,,Worker (A rating),Skilled Worker
Bortstein Services UK LLP,London,,Worker (A rating),Skilled Worker
Borwood Limited,London,,Worker (A rating),Skilled Worker
BOS Wealth Management Europe S.A.,London,,Worker (A rating),Skilled Worker
Bose Limited,London,,Worker (A rating),Skilled Worker
BOSeCO,London,,Worker (A rating),Skilled Worker
Bosideng Retail Ltd,London,,Worker (A rating),Skilled Worker
Boss Consulting Services Limited,London,,Worker (A rating),Skilled Worker
BOSS Energy Consulting Limited,London,,Worker (A rating),Skilled Worker
Bossa Studios,London,,Worker (A rating),Skilled Worker
Boster Group Limited,London,,Worker (A rating),Skilled Worker
Boston Manor Hotel,London,London,Worker (A rating),Skilled Worker
Boston Partners (UK) Limited,London,,Worker (A rating),Skilled Worker
Bosville Limited,London,,Worker (A rating),Skilled Worker
Botanic Wellness (UK) Ltd,London,,Worker (A rating),Skilled Worker
BOTANICOIR LTD,London,,Worker (A rating),Skilled Worker
Botswana High Commission,London,,Worker (A rating),Skilled Worker
Bottega Prelibato Limited,London,,Worker (A rating),Skilled Worker
Bottega Wines Ltd,London,,Worker (A rating),Skilled Worker
Bottles Group Ltd.,London,,Worker (A rating),Skilled Worker
BOUCHON CONSULTING LIMITED,London,,Worker (A rating),Skilled Worker
BOULANGERIE PIERRE ALIX LTD,London,,Worker (A rating),Skilled Worker
Boulder Creek International plc,London,,Worker (A rating),Skilled Worker
Boult Audio Limited,London,,Worker (A rating),Skilled Worker
Boult Wade Tennant LLP,London,,Worker (A rating),Skilled Worker
BOUNCE INTERACTIVE LTD,London,,Worker (A rating),Skilled Worker
Bounce Tennis,London,,Worker (A rating),Skilled Worker
Bound Rates Limited,London,,Worker (A rating),Skilled Worker
Boundary Visualisation Limited t/a The Boundary,London,,Worker (A rating),Skilled Worker
Boundaryless Ltd,London,,Worker (A rating),Skilled Worker
Bountiful Cow Ltd,London,,Worker (A rating),Skilled Worker
BOURAQ UK LTD,London,,Worker (A rating),Skilled Worker
BOUSSARD & GAVAUDAN PARTNERS LIMITED,London,,Worker (A rating),Skilled Worker
Boutcher Church of England Primary School,London,,Worker (A rating),Skilled Worker
BOUYGUES (U.K.) LIMITED,London,,Worker (A rating),Skilled Worker
Bouygues E&S Solutions Limited,London,,Worker (A rating),Skilled Worker
BOVA SPECIALS UK LIMITED,London,,Worker (A rating),Skilled Worker
Bow Grill Limited T/A Original Taste,London,,Worker (A rating),Skilled Worker
BOW MOTOR AID LIMITED,London,,Worker (A rating),Skilled Worker
BOW PIZZA LIMITED,London,,Worker (A rating),Skilled Worker
Bow Street Hotel Limited,London,,Worker (A rating),Skilled Worker
Bow Wow London Limited,London,,Worker (A rating),Skilled Worker
Bowen Craggs & Co Ltd,London,,Worker (A rating),Skilled Worker
Bower Cotton Hamilton LLP,London,,Worker (A rating),Skilled Worker
Bowery Europe Limited,London,,Worker (A rating),Skilled Worker
BOWFISH (UK) LIMITED,London,,Worker (A rating),Skilled Worker
Bowling & Co,London,,Worker (A rating),Skilled Worker
Bowman Sculpture Limited,London,,Worker (A rating),Skilled Worker
Bowmark Capital LLP,London,,Worker (A rating),Skilled Worker
Box Associates Limited,London,,Worker (A rating),Skilled Worker
Box to Box Films Limited,London,,Worker (A rating),Skilled Worker
Box.com (UK) Limited,London,,Worker (A rating),Skilled Worker
Boxberg Capital Limited,London,London,Worker (A rating),Skilled Worker
Boxcentric Ltd,London,,Worker (A rating),Skilled Worker
BOYDEN EXECUTIVE SEARCH LIMITED,London,,Worker (A rating),Skilled Worker
"Boyle Inns, trading as: Philomena's Sports Bar and Kitchen",London,,Worker (A rating),Skilled Worker
BP plc,London,,Worker (A rating),Skilled Worker
BPD Global Group Limited,London,,Worker (A rating),Skilled Worker
BPG Holding (UK) Ltd,London,,Worker (A rating),Skilled Worker
BPI Learning Consulting UK,London,,Worker (A rating),Skilled Worker
BPP Technical Services Ltd.,London,,Worker (A rating),Skilled Worker
BPP University,London,,Worker (A rating),Skilled Worker
BQFS2 LIMITED,London,,Worker (A rating),Skilled Worker
BQFS3 LIMITED,London,,Worker (A rating),Skilled Worker
BR EDUTECH LTD,London,,Worker (A rating),Skilled Worker
BR SPICES LTD T/A Currys Dosa,London,,Worker (A rating),Skilled Worker
BR&Me Limited trading as BrandMe Limited,London,,Worker (A rating),Skilled Worker
Braavos Investment Advisers LLP,London,,Worker (A rating),Skilled Worker
Bracebridge Operations Wigan Limited,London,London,Worker (A rating),Skilled Worker
BRADESCO SECURITIES UK LIMITED,London,,Worker (A rating),Skilled Worker
Bradfield Consulting Ltd,London,London,Worker (A rating),Skilled Worker
Bradley-Hole Schoenaich Landscape Architects Limited,London,,Worker (A rating),Skilled Worker
BRADY AUTOMOTIVE LIMITED T/A  AUTOKING,London,,Worker (A rating),Skilled Worker
BRADY CONSULTANTS LTD,London,England,Worker (A rating),Skilled Worker
Brady Technologies Limited,London,,Worker (A rating),Skilled Worker
Brady Williams Ltd,London,,Worker (A rating),Skilled Worker
Braemar ACM Shipbroking Limited,London,,Worker (A rating),Skilled Worker
Braidr Limited,London,,Worker (A rating),Skilled Worker
Brain Analytics,London,,Worker (A rating),Skilled Worker
Brain Audio Ltd,London,,Worker (A rating),Skilled Worker
Brain Labs Digital Ltd,London,,Worker (A rating),Skilled Worker
Brain Source International Limited,London,,Worker (A rating),Skilled Worker
BRAINFLOSS UK PRIVATE LIMITED,London,,Worker (A rating),Skilled Worker
BRAINPOOL LTD,London,,Worker (A rating),Skilled Worker
BRAINSTATION LEARNING LIMITED,London,,Worker (A rating),Skilled Worker
Brainstorm Mobile Solutions Ltd,London,,Worker (A rating),Skilled Worker
BrainxCape Ltd,London,,Worker (A rating),Skilled Worker
Braithwate Ltd,London,,Worker (A rating),Skilled Worker
BRAMA CAPITAL ADVISORS LTD,London,,Worker (A rating),Skilled Worker
Bramah Security Centres Limited,London,,Worker (A rating),Skilled Worker
Bramerton Trading Company Ltd,London,London,Worker (A rating),Skilled Worker
Brampton College,London,,Worker (A rating),Skilled Worker
Brampton Manor Trust,London,"Newham, East Ham",Worker (A rating),Skilled Worker
Branch Austin McCormick LLP,London,,Worker (A rating),Skilled Worker
Branch Metrics UK Ltd,London,,Worker (A rating),Skilled Worker
Branchspace Limited,London,,Worker (A rating),Skilled Worker
Brand Advance Ltd,London,,Worker (A rating),Skilled Worker
Brand Communication Creatives UK Ltd,London,,Worker (A rating),Skilled Worker
Brand Delta Limited,London,,Worker (A rating),Skilled Worker
Brand Design Hub LTD,London,,Worker (A rating),Skilled Worker
Brand Fuel Ltd,London,,Worker (A rating),Skilled Worker
Brand Genetics Limited,London,,Worker (A rating),Skilled Worker
Brand Ice Ltd,London,,Worker (A rating),Skilled Worker
Brand Power Limited,London,,Worker (A rating),Skilled Worker
Brand Up Consulting Limited,London,,Worker (A rating),Skilled Worker
Brand Way Food Ltd,London,,Worker (A rating),Skilled Worker
BRANDA LTD,London,,Worker (A rating),Skilled Worker
BRANDALLEY UK LIMITED,London,,Worker (A rating),Skilled Worker
Brandbassador,London,County,Worker (A rating),Skilled Worker
Brandify Technologies Limited,London,,Worker (A rating),Skilled Worker
BrandLab London Limited,London,London,Worker (A rating),Skilled Worker
Brandmovers Europe Ltd,London,,Worker (A rating),Skilled Worker
Brandon Groundworks Limited,London,,Worker (A rating),Skilled Worker
Brandpie Digital Limited,London,,Worker (A rating),Skilled Worker
Brandpie Limited,London,,Worker (A rating),Skilled Worker
Brands at Work Ltd,London,,Worker (A rating),Skilled Worker
BRANDS EXPRESS UK LIMITED,London,,Worker (A rating),Skilled Worker
Brands In Limited,London,,Worker (A rating),Skilled Worker
Brands2Life Limited,London,,Worker (A rating),Skilled Worker
BRANDSTREAM LTD,London,,Worker (A rating),Skilled Worker
BRASFOOD LIMITED,London,,Worker (A rating),Skilled Worker
Brava Management Ltd,London,,Worker (A rating),Skilled Worker
Brave Bison Limited,London,,Worker (A rating),Skilled Worker
BRAVE EDUCATIONUK LIMITED,London,,Worker (A rating),Skilled Worker
BRAVE LONDON LTD,London,,Worker (A rating),Skilled Worker
Brave Software Europe Ltd,London,,Worker (A rating),Skilled Worker
Bravesmile Tech Limited,London,,Worker (A rating),Skilled Worker
BRAVESPIRIT LIMITED,London,,Worker (A rating),Skilled Worker
Bravo Care Limited,London,,Worker (A rating),Skilled Worker
BRAVO MANAGEMENT (UK) LTD,London,,Worker (A rating),Skilled Worker
BRAVO MOTORS LTD,London,,Worker (A rating),Skilled Worker
Bravosolution UK Limited,London,London,Worker (A rating),Skilled Worker
Bravura Solutions (UK) Limited,London,,Worker (A rating),Skilled Worker
BRAWN POWER LIMITED,London,,Worker (A rating),Skilled Worker
Bray & Krais Solicitors,London,,Worker (A rating),Skilled Worker
Braze Limited,London,,Worker (A rating),Skilled Worker
BRAZEN MEDIA LTD,London,,Worker (A rating),Skilled Worker
BRAZILIANPRODUCTS LIMITED,London,,Worker (A rating),Skilled Worker
BREAD & OREGANO LTD,London,,Worker (A rating),Skilled Worker
Bread Ahead Ltd,London,,Worker (A rating),Skilled Worker
Bread and Beyond Limited,London,London,Worker (A rating),Skilled Worker
Bread Brut Limited,London,,Worker (A rating),Skilled Worker
Bread Culture Ltd,London,,Worker (A rating),Skilled Worker
Bread Ltd,London,,Worker (A rating),Skilled Worker
BREAK POINT LTD,London,,Worker (A rating),Skilled Worker
Breathe Battery Technologies Limited,London,,Worker (A rating),Skilled Worker
Brecknock Dental Surgery Ltd,London,,Worker (A rating),Skilled Worker
